Provincia,Año,Trimestre,Acesosx100hab,Acesosx100hog,MbpsMediaBajada,Incremento_habitantes,KPI_Habitantes_Cumplido,Incremento_hogar,KPI_Hogar_Cumplido,Incremento_Velocidad,KPI_Velocidad_Cumplido
Santiago Del Estero,2016,1,4.03285507054127,16.205749206822,4.17401156430692,0.0,0,0.0,0,0.0,0
Santiago Del Estero,2016,2,3.94345309540957,15.8889250473061,4.30981517959065,-2.2168407633776255,0,-1.9550108759089468,0,3.2535514861775416,0
Santiago Del Estero,2016,3,3.79448087117706,15.3296465784729,4.67012308701355,-3.7777100583730294,0,-3.5199264089172844,0,8.360170736071382,1
Santiago Del Estero,2016,4,3.71972042933157,15.0678475104333,4.86679443144862,-1.9702416320865224,0,-1.7077958496919288,0,4.21126682896138,0
Santiago Del Estero,2017,1,3.648850889801,14.7021194933686,4.94896583328499,0.0,0,0.0,0,0.0,0
Santiago Del Estero,2017,2,3.50415323861831,14.118988073972,5.05794740805446,-3.9655676691842334,0,-3.9663085289139643,0,2.2021080452101494,0
Santiago Del Estero,2017,3,8.71651583615132,35.1210448843849,5.17855807833537,148.7481352153494,1,148.75043948177606,1,2.3845773898092615,0
Santiago Del Estero,2017,4,7.22868794966673,29.1263861095011,6.16560021498504,-17.06906652212914,0,-17.068566139241128,0,19.06017315474333,1
Santiago Del Estero,2018,1,8.68350419053065,34.9882694482421,6.24821072216304,0.0,0,0.0,0,0.0,0
Santiago Del Estero,2018,2,8.75016058933937,35.2564642111642,5.91100164699838,0.7676209666761968,0,0.7665276595598458,0,-5.396890248412156,0
Santiago Del Estero,2018,3,8.99651744351393,36.2496169780513,5.77984251236905,2.815455232612596,1,2.816938082442788,1,-2.2188986310963554,0
Santiago Del Estero,2018,4,9.2821177795649,37.4007259512934,6.30925524385175,3.1745654676285096,1,3.1755065824256468,1,9.159639390688223,1
Santiago Del Estero,2019,4,10.6519742883379,42.9207738235818,9.79220184435585,0.0,0,0.0,0,0.0,0
Santiago Del Estero,2020,1,10.5392121668386,42.4663591879918,10.0005390804948,0.0,0,0.0,0,0.0,0
Santiago Del Estero,2020,2,10.7876486349067,43.4671668246836,10.411619106122,2.357258437682841,1,2.3567069459884404,1,4.110578662994047,0
Santiago Del Estero,2020,3,10.7648413009404,43.3759313169191,10.8790172706597,-0.21142080853931988,0,-0.20989522536051242,0,4.489197691287727,0
Santiago Del Estero,2020,4,10.8574371648052,43.7492566206899,11.280765527512,0.8601693353037287,0,0.8606738632149558,0,3.6928726819452695,0
Santiago Del Estero,2021,1,11.3348711690326,45.6730828236546,11.5841745164981,0.0,0,0.0,0,0.0,0
Santiago Del Estero,2021,2,11.5543888752169,46.5572753649211,12.7187978386833,1.9366581490933399,1,1.9359160507741446,0,9.794597971303665,1
